LEA,LEADescription,Enrollment,NativeAmericanOrAlaskan,Hispanic,NativeHawaiianOrPacificIslander,BlackAfricanAmerican,TwoOrMoreRaces,White,Asian,EconDisadvantaged,SPED,LEP
6601010,Fairview Elementary School,619,0.807754442649,24.555735056542,0,8.077544426494,8.077544426494,56.38126009693,2.100161550888,79.81,9.369951534733,19.386106623586
6601011,Howard Elementary School,324,0.925925925925,60.493827160493,0,20.987654320987,1.234567901234,14.197530864197,2.16049382716,95.37,12.037037037037,47.839506172839
6601012,Raymond F. Orr Elem. School,357,1.400560224089,15.126050420168,0,12.885154061624,3.361344537815,59.103641456582,8.123249299719,71.99,17.927170868347,14.005602240896
6601014,Albert Pike Elementary School,509,0.982318271119,50.294695481335,1.571709233791,10.216110019646,6.876227897838,29.076620825147,0.982318271119,95.09,13.163064833005,45.186640471512
6601016,Spradling Elementary School,429,0.9324009324,53.379953379953,0,15.850815850815,3.729603729603,17.016317016317,9.090909090909,95.1,14.219114219114,52.447552447552
6601017,Sunnymede Elementary School,665,0.300751879699,64.210526315789,0,15.63909774436,2.706766917293,10.075187969924,7.067669172932,92.93,13.984962406015,59.398496240601
6601018,Sutton Elementary School,524,0.381679389312,56.297709923664,0.381679389312,16.030534351145,2.862595419847,14.12213740458,9.923664122137,93.89,15.648854961832,57.633587786259
6601019,Trusty Elementary School,327,2.140672782874,49.235474006116,0.305810397553,19.571865443425,3.975535168195,18.348623853211,6.422018348623,94.8,10.397553516819,52.599388379204
6601020,L. A. Chaffin Jr. High School,890,1.123595505617,13.14606741573,0.112359550561,7.640449438202,6.966292134831,62.808988764044,8.202247191011,45.73,10.337078651685,11.235955056179
6601021,William O. Darby Jr. High Sch.,640,2.34375,50.78125,0.46875,13.90625,3.90625,27.34375,1.25,94.06,15.625,39.6875
6601022,Dora Kimmons Jr. High School,835,1.676646706586,51.616766467065,0.239520958083,18.922155688622,4.191616766467,12.215568862275,11.137724550898,91.62,11.377245508982,48.742514970059
6601023,Ramsey Junior High School,934,1.391862955032,11.349036402569,0,7.708779443254,9.743040685224,65.417558886509,4.389721627408,50.96,13.06209850107,6.423982869379
6601024,Northside High School,1641,1.218769043266,43.266301035953,0.060938452163,18.403412553321,4.326630103595,25.411334552102,7.312614259597,81.78,11.395490554539,31.26142595978
6601025,Southside High School,1561,1.473414477898,12.556053811659,0.128122998078,5.253042921204,10.185778347213,62.075592568866,8.32799487508,40.17,9.609224855861,6.406149903907
6601029,John P. Woods Elem. School,527,0.759013282732,13.282732447817,0.379506641366,4.743833017077,7.020872865275,66.982922201138,6.831119544592,35.1,5.313092979127,11.195445920303
6601030,Harry C. Morrison Elem. School,243,0,52.263374485596,0,16.049382716049,2.057613168724,24.691358024691,4.938271604938,92.59,9.465020576131,53.497942386831
6601031,Elmer H. Cook Elem. School,539,1.113172541743,9.461966604823,0.185528756957,6.122448979591,6.307977736549,74.211502782931,2.597402597402,39.33,10.018552875695,5.751391465677
6601032,Tilles Elementary School,365,0.821917808219,62.465753424657,0,10.684931506849,2.191780821917,21.917808219178,1.917808219178,94.79,16.438356164383,52.876712328767
6601033,Euper Lane Elementary School,470,0.425531914893,20.851063829787,0.212765957446,10.63829787234,4.468085106382,59.574468085106,3.829787234042,54.04,22.765957446808,12.553191489361
6602042,Greenwood Junior High School,614,1.791530944625,4.071661237785,0,0.488599348534,2.280130293159,90.065146579804,1.302931596091,32.08,12.540716612377,1.140065146579
6602043,Greenwood High School,840,2.738095238095,5.47619047619,0,0.238095238095,2.142857142857,87.857142857142,1.547619047619,24.64,8.45238095238,0.833333333333
6602044,Westwood Elementary School,828,3.019323671497,2.294685990338,0,0.241545893719,3.623188405797,89.613526570048,1.207729468599,36.35,15.700483091787,0.966183574879
