School LEA,School Name,Overall Actual Grad,Overall Expected Grad,Overall Graduation Rate,Hispanic Actual Grad,Hispanic Expected Grad,Hispanic Overall Grad Rate,Native American Actual Grad,Native American Expected Grad,Native American Overall Grad Rate,Asian Actual Grad,Asian Expected Grad,Asian Overall Grad Rate,African American Actual Grad,African American Expected Grad,African American Overall Grad Rate,Hawaiian/Pacific Islander Actual Grad,Hawaiian/Pacific Islander Expected Grad,Hawaiian/Pacific Islander Overall Grad Rate,Caucasian Actual Grad,Caucasian Expected Grad,Caucasian Overall Grad Rate,Two or More Actual Grad,Two or More Expected Grad,Two or More Overall Grad Rate,Economic Disadvantage Actual Grad,Economic Disadvantage Expected Grad,Economic Disadvantage Overall Grad Rate,SPED Actual Grad,SPED Expected Grad,SPED Overall Grad Rate,Migrant Actual Grad,Migrant Expected Grad,Migrant Overall Grad Rate,LEP Actual Grad,LEP Expected Grad,LEP Overall Grad Rate,TAGG Actual Grad,TAGG Expected Grad,TAGG Overall Grad Rate
6003125,Wilbur D. Mills High School,150,213,70.42,8,17,47.06,0,0,0.00,RV,RV,RV,103,135,76.30,0,0,0.00,38,59,64.41,RV,RV,RV,60,91,65.93,11,12,91.67,0,0,0.00,RV,RV,RV,65,98,66.33
6003127,Joe T. Robinson High School,106,139,76.26,RV,RV,RV,RV,RV,RV,RV,RV,RV,52,67,77.61,0,0,0.00,43,57,75.44,RV,RV,RV,44,62,70.97,17,23,73.91,0,0,0.00,RV,RV,RV,57,77,74.03
6003128,Sylvan Hills High School,165,246,67.07,6,12,50.00,RV,RV,RV,RV,RV,RV,73,117,62.39,0,0,0.00,78,106,73.58,RV,RV,RV,46,90,51.11,12,21,57.14,0,0,0.00,RV,RV,RV,56,103,54.37
6003136,North Pulaski High School,153,222,68.92,10,14,71.43,0,0,0.00,RV,RV,RV,58,87,66.67,RV,RV,RV,72,106,67.92,RV,RV,RV,30,67,44.78,18,26,69.23,RV,RV,RV,RV,RV,RV,45,84,53.57
6003151,Maumelle High School,234,300,78.00,9,15,60.00,RV,RV,RV,RV,RV,RV,114,149,76.51,0,0,0.00,100,124,80.65,RV,RV,RV,82,108,75.93,17,21,80.95,0,0,0.00,RV,RV,RV,93,120,77.50
6040703,Academics Plus High,30,31,96.77,0,0,0.00,RV,RV,RV,0,0,0.00,RV,RV,RV,0,0,0.00,20,21,95.24,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV
6041703,Lisa Academy High,41,41,100.00,RV,RV,RV,0,0,0.00,RV,RV,RV,18,18,100.00,0,0,0.00,15,15,100.00,0,0,0.00,13,13,100.00,RV,RV,RV,0,0,0.00,0,0,0.00,14,14,100.00
6041706,Lisa Academy North High Charter School,16,16,100.00,0,0,0.00,0,0,0.00,RV,RV,RV,RV,RV,100.00,0,0,0.00,12,12,100.00,0,0,0.00,RV,RV,RV,0,0,0.00,0,0,0.00,0,0,0.00,RV,RV,RV
6047703,Estem High Charter,126,128,98.44,RV,RV,RV,0,0,0.00,RV,RV,RV,69,69,100.00,0,0,0.00,35,37,94.59,12,12,100.00,43,44,97.73,RV,RV,RV,0,0,0.00,RV,RV,RV,47,48,97.92
6052703,Siatech High Charter,23,142,16.20,RV,RV,RV,0,0,0.00,RV,RV,RV,18,110,16.36,0,0,0.00,5,24,20.83,0,0,0.00,15,77,19.48,RV,RV,RV,0,0,0.00,0,0,0.00,15,79,18.99
