LEA,LEADescription,SchoolEnrollment,SchoolChoiceTotal
2808027,Woodrow Wilson Elem. School,235,18
2808028,Oak Grove Middle School,497,71
2808042,Paragould Junior High,469,59
2808043,Paragould High School,825,132
2808044,Paragould Primary School,535,37
2808045,Oak Grove Elementary School,236,21
2901001,Blevins Elementary School,253,1
2901002,Blevins High School,237,2
2903007,Wm. Jefferson Clinton Primary,1079,0
2903008,Beryl Henry Upper Elem. School,360,0
2903011,Yerger Junior High School,334,0
2903012,Hope High School,728,1
2906025,Spring Hill Elementary School,292,52
2906026,Spring Hill High School,278,18
3001001,Bismarck Elementary School,364,3
3001002,Bismarck Middle School,291,10
3001003,Bismarck High School,314,2
3002007,Glen Rose Elementary School,372,20
3002009,Glen Rose High School,321,18
3002010,Glen Rose Middle School,310,20
3003013,Magnet Cove Elementary School,343,39
3003014,Magnet Cove High School,329,32
3004021,Malvern Elementary School,895,2
3004022,Malvern Middle School,287,1
3004023,Malvern High School,576,1
3004025,Wilson Intermediate School,307,0
3005029,Ouachita Elementary School,288,10
3005030,Ouachita High School,225,6
3102001,Joann Walters Elementary Sch,321,18
3102002,Dierks High School,262,14
3104005,Mineral Springs Elem. School,226,0
3104006,Mineral Springs High School,180,0
3105009,Nashville Elementary School,441,10
3105010,Nashville Junior High School,423,2
3105011,Nashville High School,411,0
3105012,Nashville Primary School,633,19
3201001,Central Elementary School,335,5
3201003,West Elementary School,530,4
3201004,Batesville Junior High School,700,31
3201005,Batesville High School,606,48
3201009,Eagle Mountain Elem School,491,19
3201042,Sulphur Rock Elementary,365,14
3209038,Southside Elementary School,521,121
3209039,Southside High School,392,111
3209041,Southside Middle School,381,115
3209042,Southside Junior High School,364,86
3211022,Midland Elementary School,285,8
3211035,Midland High School,216,8
3212010,Cord-Charlotte Elem. School,108,2
3212026,Newark Elementary School,307,7
3212027,Cedar Ridge High School,420,23
3301001,Calico Rock Elementary School,207,4
3301002,Calico Rock High School,189,0
3302005,Melbourne Elementary School,347,10
3302006,Melbourne High School,370,20
3302010,Mount Pleasant Elem. School,134,12
3306014,Izard Co. Cons. Elem. School,187,0
3306015,Izard Co. Cons. High School,140,5
3306016,Izard County Cons Middle Sch,155,2
3403013,Newport High School,560,1
3403014,Newport Elementary School,706,0
3405019,Swifton Middle School,190,5
3405024,Tuckerman Elementary School,332,14
3405025,Tuckerman High School,329,7
3502006,Matthews Elementary School,220,0
3502009,Robert F Morehead Middle Schoo,275,0
3502010,Dollarway High School,423,0
3502011,Townsend Park Elementary Schoo,379,1
3505025,Belair Middle School,308,1
3505026,Broadmoor Elementary School,383,0
3505034,Oak Park Elementary School,338,1
3505036,Thirty-Fourth Ave. Elem. Sch.,479,1
3505037,Southwood Elementary School,392,0
3505041,Southeast Middle School,387,3
3505042,Pine Bluff High School,926,1
3505044,Jack Robey Jr. High School,650,4
3505046,W. T. Cheney Elementary School,377,1
3509063,Edgewood Elementary School,434,4
3509064,L. L. Owen Elementary School,418,32
3509066,Coleman Elementary School,553,60
3509067,Watson Chapel High School,660,80
3509068,Watson Chapel Jr. High School,714,72
3510076,White Hall High School,967,75
3510078,Hardin Elementary School,234,0
3510079,Moody Elementary School,363,15
3510080,Taylor Elementary School,373,10
3510081,White Hall Middle School,654,39
3510084,Gandy Elementary School,353,18
3601001,Pyron Elementary School,599,23
3601002,Kraus Middle School,434,17
3601003,Clarksville Primary School,474,11
3601004,Clarksville Junior High School,633,17
3601005,Clarksville High School,545,30
3604018,Lamar Elementary School,421,34
3604019,Lamar High School,464,30
3604020,Lamar Middle School,366,18
3606025,Westside Elementary School,359,17
3606026,Westside High School,295,15
3704007,Lafayette County Elementary,346,0
3704013,Lafayette County High School,302,0
3804009,Hoxie Elementary School,440,51
3804010,Hoxie High School,423,132
3806018,Sloan-Hendrix Elem. School,263,12
3806019,Sloan-Hendrix High School,295,19
3806020,Sloan-Hendrix Middle School,148,10
3809014,Hillcrest Elementary School,208,2
3809023,Hillcrest High School,214,1
3810026,Walnut Ridge Elementary School,493,71
3810027,Walnut Ridge High School,429,75
3904005,Whitten Elementary School,216,0
3904010,Anna Strong Intermediate Schoo,219,0
3904011,Lee High School,392,0
4003014,Brown Elementary School,703,0
4003015,Star City Middle School,379,0
4003016,Star City High School,488,2
4101001,L.F. Henderson Interm. Sch.,217,0
4101002,C. D. Franks Elementary School,217,0
4101003,Ashdown Junior High School,329,0
4101004,Ashdown High School,451,1
4101005,Margaret Daniels Primary,232,0
4102008,Oscar Hamilton Elementary Sch,250,7
4102010,Foreman High School,252,7
4201001,Booneville Elementary School,669,8
4201002,Booneville High School,298,5
4201003,Booneville Jr High School,304,9
4202007,Magazine Elementary School,269,26
4202008,J.D. Leftwich High School,256,32
4203011,Paris Elementary School,402,14
4203012,Paris High School,357,10
4203013,Paris Middle School,330,10
4204016,Scranton Elementary School,213,6
4204019,Scranton High School,200,22
4301027,Lonoke Elementary School,367,3
4301028,Lonoke Middle School,414,1
4301029,Lonoke High School,580,3
4301030,Lonoke Primary School,393,2
4302017,England Elementary School,393,2
4302018,England High School,359,1
4303012,Carlisle Elementary School,360,6
4303013,Carlisle High School,326,4
4304001,Eastside Elementary School,430,0
4304002,Central Elementary School,343,0
4304004,Cabot Junior High South,799,6
4304005,Cabot High School,2085,9
4304006,Westside Elementary School,397,4
4304007,Southside Elementary School,464,2
4304008,Northside Elementary School,362,6
4304009,Ward Central Elementary,526,0
4304010,Cabot Middle School South,740,3
4304011,Cabot Junior High North,888,4
4304012,Cabot Middle School North,871,1
4304013,Magness Creek Elementary,356,7
4304014,Stagecoach Elementary School,466,2
4304015,Mountain Springs Elem School,401,2
4304017,Cabot Freshman Academy,782,1
4401001,Watson Primary School,451,1
4401002,Huntsville Middle School,496,0
4401003,Huntsville High School,667,3
4401004,Huntsville Intermediate Sch,479,0
4401011,St. Paul Elementary School,107,0
4401012,St. Paul High School,103,0
4501001,Flippin Elementary School,382,28
4501002,Flippin High School,246,5
4501003,Flippin Middle School,183,4
4502005,Yellville-Summit Elem. School,245,3
4502006,Yellville-Summit High School,255,9
4502007,Yellville-Summit Middle School,194,2
4602005,Genoa Central Elem. School,422,4
4602006,Genoa Central High School,334,3
4602007,Gary E. Cobb Middle School,330,2
4603009,Fouke Elementary School,480,6
4603010,Fouke High School,310,5
4603011,Paulette Smith Middle School,228,3
4605019,College Hill Elementary School,328,0
4605020,Fairview Elementary School,282,0
4605021,Vera Kilpatrick Elem. School,393,0
4605022,Union Elementary School,271,0
4605024,College Hill Middle,607,0
4605025,North Heights Jr. High School,649,2
4605026,Arkansas High School,1106,5
4605027,Edward D. Trice Elem. School,566,0
4701001,Armorel Elementary School,215,7
4701002,Armorel High School,209,15
4702006,Blytheville Elementary School,495,0
4702008,Blytheville Primary School,681,0
4702012,Blytheville Middle School,473,0
4706066,Rivercrest High School,595,4
4706069,Rivercrest Elementary School,652,5
4708028,Gosnell Elementary School,688,19
4708031,Gosnell High School,617,18
4712043,Manila Elementary School,413,6
4712044,Manila High School,343,3
4712045,Manila Middle School,302,4
4713051,Osceola High School,370,1
4713052,North Elementary School,119,0
4713053,Carroll Smith Elementary Schoo,421,0
4801001,C.B. Partee Elementary School,273,6
4801003,Brinkley High School,245,4
4802008,Clarendon Elementary School,287,0
4802010,Clarendon High School,263,0
4901001,Caddo Hills Elementary School,340,25
4901003,Caddo Hills High School,234,22
4902006,Mount Ida Elementary School,237,2
4902007,Mount Ida High School,246,11
5006022,Prescott Elementary School,429,9
5006023,McRae Middle School,154,7
5006024,Prescott High School,423,27
5008013,Nevada Elementary School,214,12
5008014,Nevada High  School,197,6
5102005,Jasper Elementary School,243,0
5102006,Jasper High School,230,3
5102007,Kingston Elementary School,143,11
5102008,Kingston High School,109,8
5102023,Oark Elementary School,69,3
5102024,Oark High School,82,3
5106001,Deer Elementary School,102,0
5106002,Deer High School,101,2
5106009,Mount Judea Elementary School,84,2
5106010,Mount Judea High School,68,11
5201001,Bearden Elementary School,259,16
5201002,Bearden High School,266,6
5204021,Fairview Elementary School,451,0
5204023,Camden Fairview High School,698,0
5204025,Ivory Primary School,485,0
5204026,Camden Fairview Intermediate,381,0
5204028,Camden Fairview Middle School,552,1
5205011,Sparkman Elementary School,89,0
5205012,Sparkman High School,72,0
5205028,Harmony Grove Elem. School,418,32
5205029,Harmony Grove High School,381,26
5301001,Anne Watson Elementary School,334,9
5301002,Bigelow High School,277,1
5303010,Perryville Elementary School,494,51
5303011,Perryville High School,483,72
5401002,Barton Elementary School,428,26
5401003,Barton High School,390,26
5403019,Central High School,737,0
5403020,Eliza Miller Primary School,519,0
5403021,Eliza Miller Elementary School,330,0
5404030,Marvell-Elaine Elementary Sch,169,0
5404032,Marvell-Elaine High School,206,0
5502006,Centerpoint Primary School,279,9
5502008,Centerpoint Intermediate Sch,146,7
5502010,Centerpoint High School,517,61
5503010,Kirby Elementary School,175,3
5503011,Kirby High School,196,2
5504001,Delight Elementary School,104,0
5504014,Murfreesboro Elementary School,281,1
5504015,Murfreesboro High School,310,2
5602005,Harrisburg Elementary School,386,4
5602007,Harrisburg High School,370,0
5602008,Harrisburg Middle School,352,1
5602031,Weiner Elementary,111,0
5604015,Marked Tree Elementary School,263,0
5604017,Marked Tree High School,178,1
5604018,Marked Tree Middle School,117,3
5605001,Trumann Intermediate Sch 5-6,224,1
5605021,Cedar Park Elementary School,719,1
5605023,Trumann High School,439,1
5605024,Trumann Intermediate School7-8,254,0
5608034,Lepanto Elementary,161,2
5608035,Tyronza Elementary,214,13
5608037,East Poinsett Co. High School,331,1
5703009,Louise Durham Elem. School,452,0
5703010,Holly Harshman Elem. School,375,0
5703011,Mena Middle School,375,0
5703012,Mena High School,549,0
5706001,Acorn Elementary School,239,2
5706002,Acorn High School,293,19
5706010,Oden Maddox Elementary School,79,0
5706011,Oden High School,101,0
5707016,Umpire Elementary School,65,1
5707017,Umpire High School,65,1
5707019,Van Cove Elementary School,196,3
5707021,Wickes Elementary School,327,0
5707023,Cossatot River High School,439,7
5801001,Atkins Elementary School,400,1
5801002,Atkins High School,299,7
5801003,Atkins Middle School,303,3
5802006,Dover High School,455,22
5802008,Dover Middle School,342,11
5802009,Dover Elementary School,597,24
5803009,Hector Elementary School,307,12
5803010,Hector High School,270,20
5804013,Pottsville Elementary School,508,44
5804014,Pottsville High School,364,71
5804015,Pottsville Middle Grade,385,76
5804016,Pottsville Junior High School,390,69
5805017,Crawford Elementary School,411,2
5805018,Dwight Elementary School,248,0
5805019,London Elementary School,145,0
5805020,Oakland Heights Elem. School,432,3
5805021,Sequoyah Elementary School,486,2
5805022,Russellville Middle School,733,9
5805023,Russellville Jr. High School,800,7
5805024,Russellville High School,1086,19
5805025,Center Valley Elem. School,453,23
5805026,Russellville Upper Elem. Sch.,397,3
5901001,Des Arc Elementary School,283,8
5901002,Des Arc High School,279,5
5903011,Hazen Elementary School,431,4
5903012,Hazen High School,203,4
6001001,Central High School,2489,29
6001002,Hall High School,1189,4
6001003,Mann Magnet Middle School,789,3
6001005,Parkview Magnet High School,1033,16
6001006,Booker Arts Magnet Elem. Sch.,497,7
6001007,Dunbar Magnet Middle School,786,13
6001010,Pulaski Heights Middle School,834,12
6001013,Henderson Middle School,784,0
6001017,Bale Elementary School,332,1
6001018,Brady Elementary School,348,1
6001020,McDermott Elementary School,343,4
6001021,Carver Magnet Elem. School,291,7
6001024,Forest Park Elementary School,392,0
6001025,Franklin Incentive Elem. Sch.,284,0
6001027,Gibbs Magnet Elementary School,251,5
6001029,Western Hills Elem. School,220,1
6001030,Jefferson Elementary School,382,8
6001033,Meadowcliff Elementary School,305,3
6001035,M.L. King Magnet Elem. School,463,5
6001038,Pulaski Heights Elem. School,344,1
6001040,Romine Interdist. Elem. School,312,0
6001041,Stephens Elementary,341,1
6001042,Washington Magnet Elem. School,452,2
6001043,Williams Magnet Elem. School,382,2
6001044,Wilson Elementary School,274,2
6001047,Terry Elementary School,370,0
6001048,Fulbright Elementary School,534,2
6001050,Rockefeller Incentive Elem.,284,7
6001052,Baseline Elementary School,270,1
6001055,David O'Dodd Elementary School,290,0
6001056,Geyer Springs Gifted And Talented Academy,198,0
6001057,Mabelvale Elementary School,545,2
6001058,Otter Creek Elementary School,538,9
6001059,Wakefield Elementary School,550,0
6001062,Mabelvale Middle School,658,2
6001063,J.A. Fair High School,916,4
6001064,McClellan Magnet High School,906,4
6001071,Watson Intermediate School,413,1
6001072,Chicot Primary School,602,2
6001073,Don Roberts Elementary School,893,4
6001075,Forest Heights Stem Academy,696,14
6002050,Amboy Elementary School,377,1
6002054,Boone Park Elementary School,340,0
6002055,Crestwood Elementary School,499,61
6002056,Glenview Elementary School,164,0
6002057,Indian Hills Elementary School,575,120
6002058,Lakewood Elementary School,423,34
6002061,Meadow Park Elementary School,430,0
6002063,No. Heights Elementary School,415,0
6002064,Park Hill Elementary School,324,0
6002065,Pike View Elementary School,354,3
6002069,Seventh Street Elem. School,286,0
6002070,Lakewood Middle School,1149,104
6002080,North Little Rock Academy,154,0
6002081,Ridgeroad Middle School,618,0
6002082,North Little Rock High School,2468,54
6003092,Baker Interdistrict Elem. Sch.,419,0
6003093,Crystal Hill Elementary,640,1
6003094,Bayou Meto Elementary School,281,0
6003095,Clinton Elementary School,585,0
6003099,Warren Dupree Elem. School,408,0
6003102,Harris Elementary School,203,0
6003104,Landmark Elementary School,261,0
6003105,Lawson Elementary School,233,0
6003106,Tolleson Elementary School,320,0
6003108,Oak Grove Elementary School,241,0
6003110,Joe T. Robinson Elem. School,163,0
6003111,Scott Elementary School,125,0
6003112,Sherwood Elementary School,336,0
6003113,Sylvan Hills Elementary School,440,0
6003119,Jacksonville Middle School,613,0
6003120,Fuller Middle School,449,6
6003122,Sylvan Hills Middle School,836,1
6003123,Jacksonville High School,803,0
6003125,Wilbur D. Mills High School,676,6
6003127,Joe T. Robinson High School,513,0
6003128,Sylvan Hills High School,975,0
6003129,Cato Elementary School,346,0
