LEA,LEADescription,Expulsions,WeaponsIncidents,StaffAssaults,StudentAssaults
3509067,Watson Chapel High School,2,2,,1
3509068,Watson Chapel Jr. High School,,1,3,
3510076,White Hall High School,,,,1
3510077,Redfield Middle School,,,,
3510078,Hardin Elementary School,,,,8
3510079,Moody Elementary School,,,1,
3510080,Taylor Elementary School,,,2,14
3510081,White Hall Middle School,,,1,1
3510084,Gandy Elementary School,,,1,3
3541701,Pine Bluff Lighthouse Academy,,,,
3541702,Pb Lighthouse Upper Academy,,,,
3542702,Quest Middle School OF Pine Bluff,,,,
3601001,Pyron Elementary School,,,,
3601002,Kraus Middle School,,,,
3601003,Clarksville Primary School,,,,
3601004,Clarksville Junior High School,,1,,1
3601005,Clarksville High School,,,,
3604018,Lamar Elementary School,,,,
3604019,Lamar High School,7,,,
3604020,Lamar Middle School,,,,
3606025,Westside Elementary School,,1,,
3606026,Westside High School,3,,,
3701001,Bradley Elementary School,,,,
3701002,Bradley High School,,,,
3704007,Lafayette County Elementary,,1,,
3704013,Lafayette County High School,,,,
3804009,Hoxie Elementary School,,1,1,1
3804010,Hoxie High School,,2,,1
3806018,Sloan-Hendrix Elem. School,,,,
3806019,Sloan-Hendrix High School,,,,
3806020,Sloan-Hendrix Middle School,1,1,,
3809014,Hillcrest Elementary School,,,,
3809023,Hillcrest High School,,1,,
3810001,Black Rock Elementary School,,,,
3810002,Black Rock High School,,,,
3810026,Walnut Ridge Elementary School,,1,,2
3810027,Walnut Ridge High School,0,1,,
3840701,Imboden Area Charter School,,,,
3904005,Whitten Elementary School,,1,,
3904010,Anna Strong Intermediate Schoo,1,1,1,5
3904011,Lee High School,3,,,
4003014,Brown Elementary School,,4,,
4003015,Star City Middle School,,,,
4003016,Star City High School,1,2,1,3
4101001,L.F. Henderson Interm. Sch.,,,1,
4101002,C. D. Franks Elementary School,,,,
4101003,Ashdown Junior High School,,,,
4101004,Ashdown High School,,,,
4101005,Margaret Daniels Primary,,,,
4102008,Oscar Hamilton Elementary Sch,,1,,
4102010,Foreman High School,,2,,
4201001,Booneville Elementary School,,1,,1
4201002,Booneville High School,1,,,
4201003,Booneville Jr High School,,,,
4202007,Magazine Elementary School,,,1,
4202008,J.D. Leftwich High School,,,,
4203011,Paris Elementary School,,1,,3
4203012,Paris High School,,1,,1
4203013,Paris Middle School,,1,,2
4204016,Scranton Elementary School,,,,
4204019,Scranton High School,,,,6
4301027,Lonoke Elementary School,,1,4,12
4301028,Lonoke Middle School,1,,,
4301029,Lonoke High School,,,,
4301030,Lonoke Primary School,,,,1
4302017,England Elementary School,,1,2,2
4302018,England High School,2,3,,
4303012,Carlisle Elementary School,,5,5,8
4303013,Carlisle High School,,2,,
4304001,Eastside Elementary School,,1,,1
4304002,Central Elementary School,,,,
4304004,Cabot Junior High South,,,,
4304005,Cabot High School,4,4,,
4304006,Westside Elementary School,,,,
4304007,Southside Elementary School,,,1,2
4304008,Northside Elementary School,,,,
4304009,Ward Central Elementary,,,,
4304010,Cabot Middle School South,,,,
4304011,Cabot Junior High North,,2,,7
4304012,Cabot Middle School North,,,,
4304013,Magness Creek Elementary,,1,9,5
4304014,Stagecoach Elementary School,,,,
4304015,Mountain Springs Elem School,,,,
4304016,Cabot Learning(Iale) Academy,,,,
4304017,Cabot Freshman Academy,,,,1
4304703,Academic Center For Excellence,,,,
4401001,Watson Primary School,,,,
4401002,Huntsville Middle School,,3,,3
4401003,Huntsville High School,,,,
4401004,Huntsville Intermediate Sch,,,,2
4401011,St. Paul Elementary School,,,,
4401012,St. Paul High School,,,,
4501001,Flippin Elementary School,,,,
4501002,Flippin High School,,5,,
4501003,Flippin Middle School,,,,
4502005,Yellville-Summit Elem. School,,,,1
4502006,Yellville-Summit High School,,,,1
4502007,Yellville-Summit Middle School,,,,
4602005,Genoa Central Elem. School,,,,
4602006,Genoa Central High School,,1,,
4602007,Gary E. Cobb Middle School,,,,1
4603009,Fouke Elementary School,,,1,
4603010,Fouke High School,,2,,
4603011,Paulette Smith Middle School,,,,
4605019,College Hill Elementary School,,,,
4605020,Fairview Elementary School,,,,
4605021,Vera Kilpatrick Elem. School,,,,
4605022,Union Elementary School,,,,
4605024,College Hill Middle,,2,2,6
4605025,North Heights Jr. High School,21,7,,
4605026,Arkansas High School,20,9,2,2
4605027,Edward D. Trice Elem. School,,1,,
4605703,Washington Academy,,,,
4701001,Armorel Elementary School,,,,
4701002,Armorel High School,,,,
4702006,Blytheville Elementary School,,2,,
4702008,Blytheville Primary School,,2,,2
4702011,Blytheville Intermediate Sch,,,,
4702012,Blytheville Middle School,6,2,,
4702013,Blytheville High School,,,,
4702703,Blytheville Charter School&alc,,,,
4702706,Blytheville High School-A New Tech School,11,4,,1
4706039,So Miss County Elem At Luxora,,,,
4706040,South Miss Cty Elem @ Wilson,,,,
4706059,So Miss County Elem At Keiser,,,,
4706066,Rivercrest High School,2,,,4
4706069,Rivercrest Elementary School,,,2,10
4708028,Gosnell Elementary School,,2,,1
4708031,Gosnell High School,,1,2,
4712043,Manila Elementary School,,,,
4712044,Manila High School,4,,,
4712045,Manila Middle School,1,,,
4713051,Osceola High School,8,,,13
4713052,North Elementary School,,,2,2
4713053,Carroll Smith Elementary Schoo,,,10,8
4713705,Osceola Stem Charter,,,,2
4740700,"Osceola Comm,arts & Bus Ch Sch",,,,
4801001,C.B. Partee Elementary School,,,,3
4801003,Brinkley High School,1,,,
4802008,Clarendon Elementary School,,,,
4802010,Clarendon High School,,,,
4901001,Caddo Hills Elementary School,,,,
